sentenceID,homophoneID,version,sentenceType,m1,word,m1_relatedness,m2_relatedness,unigram,m1_trigram,m2_trigram
27,27,a,pun,screaming,horror,1.020541988,0.698420014,1.62E-05,0.000129657,0.000129657
27,27,a,pun,screaming,movie,0.240603017,1.034326306,1.44E-05,0.00946177,0.00946177
27,27,a,pun,screaming,i've,-0.83289257,-0.90658766,4.55E-07,2.20E-07,2.20E-07
27,27,a,pun,screaming,arranged,-0.647822954,-0.404895972,3.19E-05,4.59E-05,4.59E-05
27,27,a,pun,screaming,private,-0.851442379,0.524680304,0.000141518,0.000404432,0.000404432
28,28,a,pun,ohms,ohms,0,0,6.18E-07,2.61E-06,0.0576145
28,28,a,pun,ohms,like,-0.961631853,-0.768492084,0.001186943,0.00051742,0.00051742
28,28,a,pun,ohms,stay,-0.712045543,-0.916856701,9.63E-05,0.0053027,0.0053027
28,28,a,pun,ohms,current,0.58262646,-0.83483688,0.000114229,9.64E-06,9.64E-06
28,28,a,pun,ohms,electrifying,0.982098768,-0.566891594,6.02E-07,5.15E-07,5.15E-07
28,28,a,pun,ohms,adventures,-0.756463027,0.709295912,4.17E-06,9.92E-06,9.92E-06
28,28,a,pun,ohms,sherlock,-0.558142296,1.716176025,1.63E-06,0.00439061,0.00439061
29,29,a,pun,kant,kant,0,0,1.91E-06,0.00788452,0.00115221
29,29,a,pun,kant,need,-0.768492084,-0.457669333,0.00044508,0.000108456,0.000108456
29,29,a,pun,kant,philosophy,0.594760077,-0.236775461,2.77E-05,9.38E-05,9.38E-05
29,29,a,pun,kant,homework,-0.530654244,-0.346031903,6.49E-06,1.64E-06,1.64E-06
29,29,a,pun,kant,just,-0.747905517,-0.48257104,0.00101403,0.00139074,0.00139074
30,30,a,pun,tamper,tamper,0,0,4.23E-07,1.59E-07,0.161604
30,30,a,pun,tamper,barista,-0.321494003,-0.695418569,8.13E-09,0.00340529,0.00340529
30,30,a,pun,tamper,not,-0.38436228,-0.883392341,0.00346259,0.021206,0.021206
30,30,a,pun,tamper,allowed,-0.639302032,-0.675663486,0.000112798,0.00266571,0.00266571
30,30,a,pun,tamper,make,-0.022103465,-0.513919625,0.000621074,0.0147865,0.0147865
30,30,a,pun,tamper,espresso,-0.688232969,-1.010664532,2.03E-07,2.64E-08,2.64E-08
30,30,a,pun,tamper,lose,-0.42506412,0.744520944,5.06E-05,0.00232544,0.00232544
31,31,a,pun,latte,latte,0,0,8.13E-09,0.00390153,0.00333838
31,31,a,pun,latte,spend,-0.045615681,-0.281561419,5.89E-05,0.000690856,0.000690856
31,31,a,pun,latte,time,-0.947835339,1.200496854,0.001239318,0.023436,0.023436
31,31,a,pun,latte,coffee,1.838535291,-0.164915081,5.04E-05,0.000118945,0.000118945
31,31,a,pun,latte,shop,0.099673274,0.147724513,8.38E-05,0.0493358,0.0493358
31,31,a,pun,latte,you'll,-1.033399543,-0.466902009,1.79E-07,6.78E-06,6.78E-06
31,31,a,pun,latte,work,-0.262727015,0.676276652,0.000718337,0.00111282,0.073073
32,32,a,pun,libel,libel,0,0,6.37E-06,6.23E-06,8.30E-05
32,32,a,pun,libel,write,0.253432196,-0.518143508,8.56E-05,0.00176126,0.00176126
32,32,a,pun,libel,bad,0.434544881,0.213244842,0.000120326,8.65E-05,8.65E-05
32,32,a,pun,libel,things,-0.783779476,-0.674633301,0.000325892,0.00745375,0.00745375
32,32,a,pun,libel,sue,1.702812138,1.03866012,1.88E-05,0.000210366,7.30E-05
33,33,a,pun,tryst,tryst,0,0,2.28E-07,1.07E-07,0.000232038
33,33,a,pun,tryst,novel,-0.740461126,0.713492747,3.32E-05,0.000288953,0.000288953
33,33,a,pun,tryst,unexpected,-0.384531457,1.62548606,1.64E-05,0.000580858,0.000580858
33,33,a,pun,tryst,secret,0.203059995,0.264869073,4.47E-05,1.97E-05,1.97E-05
33,33,a,pun,tryst,meeting,0.283346607,-0.713061639,0.000165076,0.000993658,0.000993658
33,33,a,pun,tryst,lovers,1.09218497,-0.605937267,8.89E-06,9.77E-06,9.77E-06
33,33,a,pun,tryst,plot,-0.620082612,0.655905037,1.67E-05,0.000262666,0.000262666
34,34,a,pun,propane,propane,0,0,3.98E-07,4.77E-08,3.76E-07
34,34,a,pun,propane,inflammatory,0.524274451,0.537788401,5.51E-06,3.36E-07,3.36E-07
34,34,a,pun,propane,talk,-0.820549264,0.638659276,0.000130365,3.26E-05,3.26E-05
34,34,a,pun,propane,seen,0.298342534,-0.431107244,0.000293376,0.0144932,0.0144932
